ID,knob_simd,knob_compute_units,knob_xyz_loop,knob_entryid_loop,knob_entryid_num_wi,knob_hardcode_size,knob_cache_voxels,knob_xyz_loop_flat,knob_xyz_unroll,knob_entryid_unroll,knob_voxel_unroll,knob_voxel_out_unroll,knob_depth_local,knob_branch_pos,knob_unused,estim_logic,estim_reg,estim_mem,estim_dsp,estim_throughput_0,time_fpga,logic,mem,ram,dsp,fmax,verif,error,fit
../benchmarks/depth_fusion237,1,1,0,0,64,0,2,1,1,1,2,2,0,0,1,57,28,43,33,0.000171216,50.5779,15486,702215,-1,41,112.29,P,N,Y
../benchmarks/depth_fusion238,1,1,0,0,64,0,2,1,1,1,2,2,0,1,0,57,28,43,33,0.000158986,55.1161,15273,677510,-1,41,103.33,P,N,Y
../benchmarks/depth_fusion239,1,1,0,0,64,0,2,1,1,1,2,2,0,1,1,57,28,43,33,0.000158986,55.1157,15273,677510,-1,41,103.33,P,N,Y
../benchmarks/depth_fusion256,1,1,0,0,64,0,2,1,2,1,1,1,0,0,0,72,35,55,66,0.000171617,84.4167,21847,908214,-1,82,84.93,P,N,Y
../benchmarks/depth_fusion257,1,1,0,0,64,0,2,1,2,1,1,1,0,0,1,72,35,55,66,0.000171617,84.4161,21847,908214,-1,82,84.93,P,N,Y
../benchmarks/depth_fusion258,1,1,0,0,64,0,2,1,2,1,1,1,0,1,0,72,35,55,66,0.000171216,85.877,21108,852665,-1,82,83.94,P,N,Y
../benchmarks/depth_fusion259,1,1,0,0,64,0,2,1,2,1,1,1,0,1,1,72,35,55,66,0.000171216,85.8829,21108,852665,-1,82,83.94,P,N,Y
../benchmarks/depth_fusion260,1,1,0,0,64,0,2,1,2,1,1,2,0,0,0,71,35,53,66,0.000171216,65.807,21689,852199,-1,82,86.37,P,N,Y
../benchmarks/depth_fusion261,1,1,0,0,64,0,2,1,2,1,1,2,0,0,1,71,35,53,66,0.000171216,65.8091,21689,852199,-1,82,86.37,P,N,Y
../benchmarks/depth_fusion262,1,1,0,0,64,0,2,1,2,1,1,2,0,1,0,71,35,53,66,0.000171149,66.1762,20926,798010,-1,82,86.34,P,N,Y
../benchmarks/depth_fusion263,1,1,0,0,64,0,2,1,2,1,1,2,0,1,1,71,35,53,66,0.000171149,66.1646,20926,798010,-1,82,86.34,P,N,Y
