ID,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,param_12,param_13,param_14,estim_throughput_0,logic,mem,ram,dsp,fmax,fit
../benchmarks/combined244,1,1,0,0,0,1,1,0,1,2,1,32,16,34,21,4.14795e-05,62138,5607447,591,54,250.5,Y
../benchmarks/combined245,1,1,0,0,0,1,1,0,1,2,2,32,16,34,21,4.14795e-05,62068,5607447,591,54,267.37,Y
../benchmarks/combined246,1,1,0,0,0,1,1,0,2,1,1,40,20,44,38,4.15395e-05,74137,6103081,662,98,203.83,Y
../benchmarks/combined247,1,1,0,0,0,1,1,0,2,1,2,40,20,44,38,4.15395e-05,74038,6102221,662,98,192.75,Y
../benchmarks/combined248,1,1,0,0,0,1,1,0,2,2,1,40,20,44,38,4.15395e-05,74109,6101709,662,98,195.235,Y
../benchmarks/combined249,1,1,0,0,0,1,1,0,2,2,2,40,20,44,38,4.45066e-05,74007,6101709,662,98,186.355,Y
../benchmarks/combined250,1,1,0,0,0,1,1,1,1,1,1,30,14,30,21,0.000177556,58856,5647839,585,54,164.88,Y
../benchmarks/combined251,1,1,0,0,0,1,1,1,1,1,2,31,15,31,21,0.000165797,58861,5581663,580,54,164.74,Y
../benchmarks/combined252,1,1,0,0,0,1,1,1,1,2,1,31,15,31,21,0.000165797,58914,5581151,580,54,164.25,Y
../benchmarks/combined253,1,1,0,0,0,1,1,1,1,2,2,31,15,32,21,0.000165797,58874,5581151,580,54,165.59,Y
../benchmarks/combined254,1,1,0,0,0,1,1,1,2,1,1,40,19,39,42,0.000166036,71980,6037416,641,108,188.89,Y
../benchmarks/combined255,1,1,0,0,0,1,1,1,2,1,2,40,19,39,42,0.000166036,71779,6037416,641,108,186.355,Y
../benchmarks/combined256,1,1,0,0,0,1,1,1,2,2,1,40,19,39,42,0.000166036,71875,6036904,641,108,192.155,Y
../benchmarks/combined257,1,1,0,0,0,1,1,1,2,2,2,40,19,39,42,0.000177896,71886,6036904,641,108,191.935,Y
../benchmarks/combined258,1,1,0,0,0,1,2,0,1,1,1,44,21,44,42,2.3565e-05,78684,7308830,723,108,257.26,Y
../benchmarks/combined259,1,1,0,0,0,1,2,0,1,1,2,44,21,44,42,2.31245e-05,78485,7308830,723,108,249.31,Y
../benchmarks/combined260,1,1,0,0,0,1,2,0,1,2,1,44,21,44,42,2.31245e-05,78884,7312414,725,108,253.74,Y
../benchmarks/combined261,1,1,0,0,0,1,2,0,1,2,2,44,21,44,42,2.2684e-05,78793,7312414,725,108,240.96,Y
../benchmarks/combined262,1,1,0,0,0,1,2,0,2,1,1,58,28,63,77,2.23348e-05,101751,8832967,874,196,187.545,Y
../benchmarks/combined263,1,1,0,0,0,1,2,0,2,1,2,58,28,63,77,2.23348e-05,101596,8832967,874,196,188.535,Y
../benchmarks/combined264,1,1,0,0,0,1,2,0,2,2,1,58,28,63,77,2.23348e-05,101785,8831943,874,196,193.72,Y
../benchmarks/combined265,1,1,0,0,0,1,2,0,2,2,2,58,28,63,77,2.39302e-05,101716,8831943,874,196,200.88,Y
../benchmarks/combined266,1,1,0,0,0,1,2,1,1,1,1,40,19,38,42,4.12445e-05,74520,7257410,707,108,148.76,Y
../benchmarks/combined267,1,1,0,0,0,1,2,1,1,1,2,40,19,38,42,3.23789e-05,74560,7257410,707,108,151.53,Y
../benchmarks/combined268,1,1,0,0,0,1,2,1,1,2,1,40,19,38,42,3.23789e-05,74730,7260994,709,108,151.72,Y
../benchmarks/combined269,1,1,0,0,0,1,2,1,1,2,2,40,19,38,42,2.64684e-05,74692,7260994,709,108,154.65,Y
../benchmarks/combined270,1,1,0,0,0,1,2,1,2,1,1,54,25,46,84,3.90914e-05,100942,8445734,821,216,199.68,Y
../benchmarks/combined271,1,1,0,0,0,1,2,1,2,1,2,54,25,46,84,3.90914e-05,100782,8445734,821,216,198.095,Y
../benchmarks/combined272,1,1,0,0,0,1,2,1,2,2,1,54,25,46,84,3.90914e-05,101002,8444710,821,216,192.23,Y
../benchmarks/combined273,1,1,0,0,0,1,2,1,2,2,2,54,25,46,84,4.18837e-05,100894,8444710,821,216,197.625,Y
../benchmarks/combined274,1,1,0,0,0,2,1,0,1,1,1,33,16,35,21,4.44302e-05,62613,5780425,591,54,164.2,Y
../benchmarks/combined275,1,1,0,0,0,2,1,0,1,1,2,33,16,34,21,4.44821e-05,62465,5675593,584,54,164.71,Y
../benchmarks/combined276,1,1,0,0,0,2,1,0,1,2,1,33,16,34,21,4.15166e-05,62541,5677385,584,54,167.44,Y
../benchmarks/combined277,1,1,0,0,0,2,1,0,1,2,2,33,16,34,21,4.14877e-05,62502,5675081,586,54,166.08,Y
../benchmarks/combined278,1,1,0,0,0,2,1,0,2,1,1,41,20,46,38,4.15297e-05,74746,6577873,690,98,197.47,Y
../benchmarks/combined279,1,1,0,0,0,2,1,0,2,1,2,40,20,45,38,4.15334e-05,74126,6316813,675,98,197.16,Y
../benchmarks/combined280,1,1,0,0,0,2,1,0,2,2,1,40,20,45,38,4.15334e-05,74367,6316301,673,98,192.975,Y
../benchmarks/combined281,1,1,0,0,0,2,1,0,2,2,2,40,20,45,38,4.45e-05,74342,6316301,673,98,179.53,Y
../benchmarks/combined282,1,1,0,0,0,2,1,1,1,1,1,30,14,31,21,0.000177591,58941,5713119,590,54,169.8,Y
../benchmarks/combined283,1,1,0,0,0,2,1,1,1,1,2,30,14,30,21,0.000177798,58918,5642711,584,54,165.04,Y
../benchmarks/combined284,1,1,0,0,0,2,1,1,1,2,1,30,14,30,21,0.000165945,59003,5642847,583,54,163.93,Y
../benchmarks/combined285,1,1,0,0,0,2,1,1,1,2,2,30,14,30,21,0.000165829,58962,5640543,585,54,161.55,Y
../benchmarks/combined286,1,1,0,0,0,2,1,1,2,1,1,37,17,36,42,0.000165997,72521,6499590,669,108,198.49,Y
../benchmarks/combined287,1,1,0,0,0,2,1,1,2,1,2,37,17,36,42,0.000166012,72187,6243746,658,108,193.345,Y
../benchmarks/combined288,1,1,0,0,0,2,1,1,2,2,1,37,17,35,42,0.000166012,72287,6243234,656,108,195.845,Y
../benchmarks/combined289,1,1,0,0,0,2,1,1,2,2,2,37,17,36,42,0.00017787,72229,6243234,656,108,188.605,Y
../benchmarks/combined290,1,1,0,0,0,2,2,0,1,1,1,44,21,43,42,2.42248e-05,78834,7282292,708,108,149.83,Y
../benchmarks/combined291,1,1,0,0,0,2,2,0,1,1,2,44,21,43,42,2.39311e-05,78963,7282292,708,108,149.65,Y
../benchmarks/combined292,1,1,0,0,0,2,2,0,1,2,1,44,21,43,42,2.23348e-05,79030,7285876,709,108,148.32,Y
../benchmarks/combined293,1,1,0,0,0,2,2,0,1,2,2,44,21,43,42,2.20608e-05,78967,7285876,709,108,151.81,Y
../benchmarks/combined294,1,1,0,0,0,2,2,0,2,1,1,58,28,63,77,2.25061e-05,102124,8843713,876,196,202.835,Y
../benchmarks/combined295,1,1,0,0,0,2,2,0,2,1,2,58,28,63,77,2.23006e-05,102192,8843713,876,196,188.89,Y
../benchmarks/combined296,1,1,0,0,0,2,2,0,2,2,1,58,29,63,77,2.38935e-05,102321,8847297,876,196,218.625,Y
../benchmarks/combined297,1,1,0,0,0,2,2,0,2,2,2,58,29,63,77,2.4332e-05,102177,8842920,876,196,197.625,Y
../benchmarks/combined298,1,1,0,0,0,2,2,1,1,1,1,40,19,38,42,5.65323e-05,74684,7269698,708,108,149.56,Y
