ID,knob_simd,knob_compute_units,knob_xyz_loop,knob_entryid_loop,knob_entryid_num_wi,knob_hardcode_size,knob_cache_voxels,knob_xyz_loop_flat,knob_xyz_unroll,knob_entryid_unroll,knob_voxel_unroll,knob_voxel_out_unroll,knob_depth_local,knob_branch_pos,knob_unused,estim_logic,estim_reg,estim_mem,estim_dsp,estim_throughput_0,time,logic,mem,ram,dsp,fmax,verif,error,fit
../benchmarks/depth_fusion133,1,1,0,0,64,0,2,1,2,1,2,1,0,1,1,66,33,47,66,0.000159237,63.7793,19115,735007,210,82,100.63,P,N,Y
../benchmarks/depth_fusion134,1,1,0,0,64,0,2,1,2,1,2,2,0,0,1,87,48,72,66,0.000177387,999,37224,1303000,-1,82,-1,F,Y,N
../benchmarks/depth_fusion135,1,1,0,0,64,0,2,1,2,1,2,2,0,1,1,66,32,48,66,0.000159237,46.8535,19055,735054,211,82,105.66,P,N,Y
../benchmarks/depth_fusion144,1,1,0,0,64,1,0,0,1,1,1,1,0,0,1,55,28,56,31,4.76837e-05,7998.57,15249,1148237,241,39,133.45,P,N,Y
../benchmarks/depth_fusion145,1,1,0,0,64,1,0,0,1,1,1,1,0,1,1,57,29,63,31,4.76837e-05,7949.55,15345,1172186,246,39,133.19,P,N,Y
../benchmarks/depth_fusion146,1,1,0,0,64,1,0,0,1,1,1,1,1,0,1,56,29,93,31,3.28915e-05,2088.67,22217,2728002,397,39,131.06,P,N,Y
../benchmarks/depth_fusion148,1,1,0,0,64,1,0,0,1,2,1,1,0,0,1,86,45,91,63,4.76837e-05,999,41688,1898700,-1,78,-1,F,Y,N
../benchmarks/depth_fusion152,1,1,0,0,64,1,0,0,2,1,1,1,0,0,1,68,35,69,55,4.76837e-05,4212.41,20230,1428096,307,70,132.94,P,N,Y
../benchmarks/depth_fusion153,1,1,0,0,64,1,0,0,2,1,1,1,0,1,1,70,36,76,55,4.14848e-05,4075.74,20078,1376265,305,70,136.87,P,N,Y
../benchmarks/depth_fusion154,1,1,0,0,64,1,0,0,2,1,1,1,1,0,1,71,37,99,55,2.69304e-05,999,32226,2767394,-1,70,-1,F,Y,N
../benchmarks/depth_fusion160,1,1,0,0,64,1,0,1,1,1,1,1,0,0,1,53,28,37,31,0.000190735,3674.42,19316,630480,157,39,125.61,P,N,Y
../benchmarks/depth_fusion161,1,1,0,0,64,1,0,1,1,1,1,1,0,1,1,51,26,52,31,0.000190735,7545.06,13789,1024052,198,39,133.45,P,N,Y
../benchmarks/depth_fusion162,1,1,0,0,64,1,0,1,1,1,1,1,1,0,1,47,23,90,31,0.000131566,1150.4,12406,2607936,397,39,128.68,P,N,Y
../benchmarks/depth_fusion163,1,1,0,0,64,1,0,1,1,1,1,1,1,1,1,49,24,97,31,0.000131566,7568.33,14255,2968300,397,39,133.01,P,N,Y
../benchmarks/depth_fusion164,1,1,0,0,64,1,0,1,1,2,1,1,0,0,1,85,47,63,63,0.000190735,999,34330,1000288,-1,78,-1,F,Y,N
../benchmarks/depth_fusion165,1,1,0,0,64,1,0,1,1,2,1,1,0,1,1,73,36,61,63,0.000190735,8278.16,23383,1580400,310,78,127.38,P,N,Y
../benchmarks/depth_fusion168,1,1,0,0,64,1,0,1,2,1,1,1,0,0,1,78,42,58,63,0.000190735,999,35075,1051904,-1,78,-1,F,Y,N
../benchmarks/depth_fusion169,1,1,0,0,64,1,0,1,2,1,1,1,0,1,1,67,35,62,63,0.000165838,26.5537,18286,718993,206,78,106.74,P,N,Y
../benchmarks/depth_fusion171,1,1,0,0,64,1,0,1,2,1,1,1,1,1,1,63,31,99,63,0.000107643,22.4805,18489,2630459,397,78,106.06,P,N,Y
../benchmarks/depth_fusion176,1,1,0,0,64,1,1,0,1,1,1,1,0,0,1,62,33,47,31,4.59867e-05,2051.71,22151,679318,189,39,125.72,P,N,Y
../benchmarks/depth_fusion177,1,1,0,0,64,1,1,0,1,1,1,1,0,1,1,59,30,53,31,3.97619e-05,1356.25,14640,628274,188,39,128.86,P,N,Y
../benchmarks/depth_fusion178,1,1,0,0,64,1,1,0,1,1,1,1,1,0,1,57,28,100,31,3.2878e-05,1117.98,15239,2639607,397,39,132.9,P,N,Y
../benchmarks/depth_fusion179,1,1,0,0,64,1,1,0,1,1,1,1,1,1,1,57,28,100,31,2.84826e-05,1135.09,15484,2634319,397,39,133.26,P,N,Y
../benchmarks/depth_fusion180,1,1,0,0,64,1,1,0,1,1,1,2,0,0,1,62,33,50,31,4.28206e-05,1995.22,22244,678382,193,39,132.88,P,N,Y
../benchmarks/depth_fusion181,1,1,0,0,64,1,1,0,1,1,1,2,0,1,1,59,30,55,31,3.97619e-05,1299.98,14636,629355,189,39,133.42,P,N,Y
../benchmarks/depth_fusion184,1,1,0,0,64,1,1,0,1,1,2,1,0,0,1,63,33,49,31,4.28206e-05,1943.03,22327,678614,192,39,135.86,P,N,Y
../benchmarks/depth_fusion185,1,1,0,0,64,1,1,0,1,1,2,1,0,1,1,59,30,55,31,3.65315e-05,1351.86,14755,629454,191,39,128.46,P,N,Y
../benchmarks/depth_fusion188,1,1,0,0,64,1,1,0,1,1,2,2,0,0,1,62,33,50,31,4.28206e-05,1996.8,22260,677870,193,39,130.63,P,N,Y
../benchmarks/depth_fusion189,1,1,0,0,64,1,1,0,1,1,2,2,0,1,1,59,30,56,31,3.65315e-05,1296.87,14697,628843,192,39,132.99,P,N,Y
../benchmarks/depth_fusion193,1,1,0,0,64,1,1,0,1,2,1,1,0,1,1,83,41,75,63,1.7997e-05,1355.2,22592,969040,303,78,135.33,P,N,Y
../benchmarks/depth_fusion197,1,1,0,0,64,1,1,0,1,2,1,2,0,1,1,83,41,75,63,1.76698e-05,1364.46,22601,969898,305,78,133.54,P,N,Y
../benchmarks/depth_fusion201,1,1,0,0,64,1,1,0,1,2,2,1,0,1,1,83,42,75,63,1.76673e-05,1333.49,22731,972624,305,78,136.81,P,N,Y
../benchmarks/depth_fusion205,1,1,0,0,64,1,1,0,1,2,2,2,0,1,1,83,42,75,63,1.73425e-05,1319.84,22769,973610,307,78,137.23,P,N,Y
../benchmarks/depth_fusion208,1,1,0,0,64,1,1,0,2,1,1,1,0,0,1,78,42,55,55,4.28206e-05,999,32935,792374,-1,70,-1,F,Y,N
../benchmarks/depth_fusion209,1,1,0,0,64,1,1,0,2,1,1,1,0,1,1,71,36,63,55,3.95758e-05,850.592,19282,743146,244,70,133.01,P,N,Y
../benchmarks/depth_fusion212,1,1,0,0,64,1,1,0,2,1,1,2,0,0,1,78,42,58,55,4.28206e-05,999,32866,791438,-1,70,-1,F,Y,N
../benchmarks/depth_fusion213,1,1,0,0,64,1,1,0,2,1,1,2,0,1,1,71,36,66,55,3.95758e-05,840.747,19244,744075,246,70,132.89,P,N,Y
../benchmarks/depth_fusion216,1,1,0,0,64,1,1,0,2,1,2,1,0,0,1,78,42,56,55,4.28206e-05,999,32901,791670,-1,70,-1,F,Y,N
../benchmarks/depth_fusion217,1,1,0,0,64,1,1,0,2,1,2,1,0,1,1,71,36,64,55,4.26201e-05,821.649,19250,744174,245,70,136.78,P,N,Y
